x,Interactive workloads,Short-running workloads A,Long-running continuous workload B1,Long-running continuous workload B2,Long-running interruptible workload C1,Long-running interruptible workload C2,Long-running interruptible workload C3
74.035,1.94194e+06,2.90227e+06,5.369e+04,3.7179e+06,7.196482431739238385e+53,1.90282e+06,4.09114e+06
74.706,1.93074e+06,2.91201e+06,1.472e+04,3.7136e+06,7.427664418011980522e+53,1.87653e+06,3.99233e+06
75.049,1.91749e+06,2.91558e+06,-5.22e+03,3.70982e+06,7.547681566501585255e+53,1.86307e+06,3.95128e+06
75.8,1.88221e+06,2.91456e+06,-4.897e+04,3.70278e+06,7.81517e+53,1.83352e+06,3.82901e+06
76.24,1.87335e+06,2.89717e+06,-7.459e+04,3.70149e+06,7.9745e+53,1.8162e+06,3.8112e+06
76.72,1.87702e+06,2.84078e+06,-1.0261e+05,3.70252e+06,8.15099e+53,1.79725e+06,3.79565e+06
77.122,1.88426e+06,2.79258e+06,-1.2614e+05,3.70497e+06,8.30108e+53,1.78132e+06,3.7836e+06
77.562,1.88918e+06,2.75879e+06,-1.5186e+05,3.70891e+06,8.46705e+53,1.76391e+06,3.77042e+06
77.775,1.88155e+06,2.74765e+06,-1.643e+05,3.71121e+06,8.54804e+53,1.75549e+06,3.76374e+06
77.849,1.74628e+06,2.7443e+06,-1.6864e+05,3.71206e+06,8.57637e+53,1.75256e+06,3.76132e+06
78.349,1.72104e+06,2.72608e+06,-1.9798e+05,3.71843e+06,8.76968e+53,1.73268e+06,3.74261e+06
78.789,1.71643e+06,2.7137e+06,-2.2376e+05,3.72478e+06,8.94178e+53,1.71521e+06,3.72008e+06
79.193,1.7162e+06,2.70363e+06,-2.4746e+05,3.7311e+06,9.10176e+53,1.69914e+06,3.70162e+06
79.613,1.71758e+06,2.69564e+06,-2.7215e+05,3.73812e+06,9.27038e+53,1.68239e+06,3.68981e+06
79.863,1.71837e+06,2.6932e+06,-2.8685e+05,3.74247e+06,9.37161e+53,1.67243e+06,3.68479e+06
80.42,1.7189e+06,2.69515e+06,-3.1962e+05,3.75258e+06,9.59989e+53,1.65019e+06,3.67702e+06
80.861,1.71799e+06,2.6973e+06,-3.4558e+05,3.76093e+06,9.78307e+53,1.63257e+06,3.67356e+06
80.994,1.71758e+06,2.69731e+06,-3.5346e+05,3.76352e+06,9.83910573188481448e+53,1.62722e+06,3.6728e+06
81.648,1.71533e+06,2.69405e+06,-3.9199e+05,3.77649e+06,1.0116e+54,1.60105e+06,3.66882e+06
82.088,1.71344e+06,2.6891e+06,-4.1801e+05,3.78551e+06,1.03057e+54,1.58338e+06,3.66376e+06
82.798,1.70962e+06,2.67022e+06,-4.5997e+05,3.80044e+06,1.06163e+54,1.55486e+06,3.64833e+06
82.836,1.70939e+06,2.66915e+06,-4.6219e+05,3.80125e+06,1.06329e+54,1.55335e+06,3.64719e+06
82.855,1.70926e+06,2.66861e+06,-4.6334e+05,3.80166e+06,1.06414e+54,1.55257e+06,3.64659e+06
83.872,1.70214e+06,2.64313e+06,-5.2353e+05,3.8238e+06,1.10976e+54,1.51164e+06,3.61143e+06
84.389,1.69817e+06,2.63172e+06,-5.542e+05,3.83534e+06,1.13347e+54,1.49078e+06,3.59947e+06
84.792,1.69504e+06,2.6241e+06,-5.7811e+05,3.84444e+06,1.15217e+54,1.47451e+06,3.59094e+06
85.061,1.69299e+06,2.6162e+06,-5.9406e+05,3.85055e+06,1.16475e+54,1.46365e+06,3.57955e+06
85.079,1.69285e+06,2.61532e+06,-5.9517e+05,3.85098e+06,1.16563e+54,1.4629e+06,3.57827e+06
85.175,1.69213e+06,2.61029e+06,-6.0087e+05,3.85318e+06,1.17015e+54,1.45902e+06,3.57044e+06
85.923,1.68743e+06,2.58252e+06,-6.4528e+05,3.87043e+06,1.20573e+54,1.42879e+06,3.54326e+06
86.902,1.68479e+06,2.57461e+06,-7.0357e+05,3.89342e+06,1.253452180912038012e+54,1.3891e+06,3.53758e+06
87.304,1.68445e+06,2.57023e+06,-7.2749e+05,3.90296e+06,1.27337e+54,1.3728e+06,3.53723e+06
87.84,1.68429e+06,2.54153e+06,-7.5948e+05,3.91579e+06,1.30032e+54,1.35101e+06,3.53766e+06
89.068,1.68454e+06,2.53743e+06,-8.3278e+05,3.94552e+06,1.363404002081809854e+54,1.30106e+06,3.54098e+06
89.588,1.68479e+06,2.54395e+06,-8.6386e+05,3.95825e+06,1.39072e+54,1.27987e+06,3.54304e+06
90.22,1.68401e+06,2.54973e+06,-9.0163e+05,3.9738e+06,1.42438386945122904e+54,1.25412e+06,3.54589e+06
